uniprot_acc	uniprot_name	seq_len	uniprot_description	uniprot_organism	seq_mw
Q8WWA0	ITLN1	313	Intelectin-1	HUMAN	40582.88
Q8WWA1	TMEM40	233	Transmembrane protein 40	HUMAN	29674.63
Q8WWB3	DYDC1	177	DPY30 domain-containing protein 1	HUMAN	24063.96
Q8WWB5	PIH1D2	315	PIH1 domain-containing protein 2	HUMAN	41614.2
Q8WWB7	GLMP	406	Glycosylated lysosomal membrane protein	HUMAN	51161.05
Q8WWC4	MAIP1	291	m-AAA protease-interacting protein 1, mitochondrial	HUMAN	37769.58
Q8WWF1	C1orf54	131	Uncharacterized protein C1orf54	HUMAN	17264.92
Q8WWF3	SSMEM1	244	Serine-rich single-pass membrane protein 1	HUMAN	32545.24
Q8WWF5	ZNRF4	429	E3 ubiquitin-protein ligase ZNRF4	HUMAN	54669.52
Q8WWF6	DNAJB3	145	DnaJ homolog subfamily B member 3	HUMAN	19152.94
Q8WWF8	CAPSL	208	Calcyphosin-like protein	HUMAN	27958.15
Q8WWG1	NRG4	115	Pro-neuregulin-4, membrane-bound isoform	HUMAN	14776.36
Q8WWG9	KCNE4	221	Potassium voltage-gated channel subfamily E member 4	HUMAN	27769.5
Q8WWH4	ASZ1	475	Ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1	HUMAN	61998.4400000001
Q8WWH5	TRUB1	349	Probable tRNA pseudouridine synthase 1	HUMAN	43522.69
Q8WWI1	LMO7	1683	LIM domain only protein 7	HUMAN	222999.14
Q8WWI5	SLC44A1	657	Choline transporter-like protein 1	HUMAN	85121.4400000001
Q8WWK9	CKAP2	683	Cytoskeleton-associated protein 2	HUMAN	89273.9899999998
Q8WWL2	SPIRE2	714	Protein spire homolog 2	HUMAN	92516.6799999998
Q8WWL7	CCNB3	1395	G2/mitotic-specific cyclin-B3	HUMAN	183031.239999999
Q8WWM1	XAGE5	108	X antigen family member 5	HUMAN	14005.2
Q8WWM7	ATXN2L	1075	Ataxin-2-like protein	HUMAN	132723.18
Q8WWM9	CYGB	190	Cytoglobin	HUMAN	24809.78
Q8WWN8	ARAP3	1544	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3	HUMAN	197644.09
Q8WWN9	IPCEF1	437	Interactor protein for cytohesin exchange factors 1	HUMAN	56848.14
Q8WWP7	GIMAP1	306	GTPase IMAP family member 1	HUMAN	39864.28
Q8WWQ0	PHIP	1821	PH-interacting protein	HUMAN	239479.269999999
Q8WWQ2	HPSE2	592	Inactive heparanase-2	HUMAN	77244.35
Q8WWQ8	STAB2	2551	Stabilin-2	HUMAN	322932.069999999
Q8WWR8	NEU4	484	Sialidase-4	HUMAN	60274.4099999999
Q8WWR9	PPDPFL	84	Pancreatic progenitor cell differentiation and proliferation factor-like protein	HUMAN	10683.56
Q8WWT9	SLC13A3	602	Solute carrier family 13 member 3	HUMAN	77669.44
Q8WWU5	TCP11	503	T-complex protein 11 homolog	HUMAN	65185.12
Q8WWU7	ITLN2	325	Intelectin-2	HUMAN	42049.08
Q8WWV3	RTN4IP1	396	Reticulon-4-interacting protein 1, mitochondrial	HUMAN	50706.37
Q8WWV6	FCAMR	532	High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor	HUMAN	66710.5599999999
Q8WWW0	RASSF5	418	Ras association domain-containing protein 5	HUMAN	54603.0900000001
Q8WWW8	GAB3	586	GRB2-associated-binding protein 3	HUMAN	76128.0899999997
Q8WWX0	ASB5	329	Ankyrin repeat and SOCS box protein 5	HUMAN	42250.58
Q8WWX8	SLC5A11	675	Sodium/myo-inositol cotransporter 2	HUMAN	86179.9099999998
Q8WWX9	SELENOM	145	Selenoprotein M	HUMAN	18797.19
Q8WWY3	PRPF31	499	U4/U6 small nuclear ribonucleoprotein Prp31	HUMAN	64428.44
Q8WWY6	MBD3L1	194	Methyl-CpG-binding domain protein 3-like 1	HUMAN	25092.89
Q8WWY7	WFDC12	111	WAP four-disulfide core domain protein 12	HUMAN	14031.72
Q8WWY8	LIPH	451	Lipase member H	HUMAN	58966.9900000001
Q8WWZ1	IL1F10	152	Interleukin-1 family member 10	HUMAN	19663.86
Q8WWZ3	EDARADD	215	Ectodysplasin-A receptor-associated adapter protein	HUMAN	28657.48
Q8WWZ4	ABCA10	1543	ATP-binding cassette sub-family A member 10	HUMAN	203572.079999999
Q8WWZ7	ABCA5	1642	ATP-binding cassette sub-family A member 5	HUMAN	216073.599999999
Q8WWZ8	OIT3	545	Oncoprotein-induced transcript 3 protein	HUMAN	69823.0800000001
Q8WX39	LCN9	176	Epididymal-specific lipocalin-9	HUMAN	23437.98
Q8WX77	IGFBPL1	278	Insulin-like growth factor-binding protein-like 1	HUMAN	33996.25
Q8WX92	NELFB	580	Negative elongation factor B	HUMAN	76129.3400000001
Q8WX93	PALLD	1383	Palladin	HUMAN	175462.65
Q8WX94	NLRP7	980	NACHT, LRR and PYD domains-containing protein 7	HUMAN	129446.32
Q8WXA2	PATE1	126	Prostate and testis expressed protein 1	HUMAN	16523
Q8WXA3	RUFY2	606	RUN and FYVE domain-containing protein 2	HUMAN	80910.71
Q8WXA8	HTR3C	447	5-hydroxytryptamine receptor 3C	HUMAN	58255.19
Q8WXA9	SREK1	508	Splicing regulatory glutamine/lysine-rich protein 1	HUMAN	68514.2399999998
Q8WXB1	METTL21A	218	Protein N-lysine methyltransferase METTL21A	HUMAN	28510
Q8WXB4	ZNF606	792	Zinc finger protein 606	HUMAN	106063.45
Q8WXC3	PYDC1	89	Pyrin domain-containing protein 1	HUMAN	11692.41
Q8WXC6	COPS9	57	COP9 signalosome complex subunit 9	HUMAN	7219.74
Q8WXD0	RXFP2	754	Relaxin receptor 2	HUMAN	100020.06
Q8WXD2	SCG3	468	Secretogranin-3	HUMAN	61419.24
Q8WXD5	GEMIN6	167	Gem-associated protein 6	HUMAN	21815.08
Q8WXD9	CASKIN1	1431	Caskin-1	HUMAN	175577.660000001
Q8WXE0	CASKIN2	1202	Caskin-2	HUMAN	148421.39
Q8WXE1	ATRIP	791	ATR-interacting protein	HUMAN	100071.23
Q8WXE9	STON2	905	Stonin-2	HUMAN	117452.01
Q8WXF0	SRSF12	261	Serine/arginine-rich splicing factor 12	HUMAN	35195.91
Q8WXF1	PSPC1	523	Paraspeckle component 1	HUMAN	68148.2199999999
Q8WXF3	RLN3	142	Relaxin-3	HUMAN	17991.05
Q8WXF5	CRYGN	182	Gamma-crystallin N	HUMAN	23884.89
Q8WXF7	ATL1	558	Atlastin-1	HUMAN	73578.9600000001
Q8WXF8	DEDD2	326	DNA-binding death effector domain-containing protein 2	HUMAN	42034.28
Q8WXG1	RSAD2	361	Radical S-adenosyl methionine domain-containing protein 2	HUMAN	48655.75
Q8WXG6	MADD	1647	MAP kinase-activating death domain protein	HUMAN	212958.629999999
Q8WXG8	S100Z	99	Protein S100-Z	HUMAN	13385.26
Q8WXG9	ADGRV1	6306	Adhesion G-protein coupled receptor V1	HUMAN	806666.299999991
Q8WXH0	SYNE2	6885	Nesprin-2	HUMAN	920472.069999996
Q8WXH2	JPH3	748	Junctophilin-3	HUMAN	94927.1599999999
Q8WXH4	ASB11	323	Ankyrin repeat and SOCS box protein 11	HUMAN	41168.87
Q8WXH5	SOCS4	440	Suppressor of cytokine signaling 4	HUMAN	58532.5100000001
Q8WXH6	RAB40A	277	Ras-related protein Rab-40A	HUMAN	36048.73
Q8WXI2	CNKSR2	1034	Connector enhancer of kinase suppressor of ras 2	HUMAN	136145.73
Q8WXI3	ASB10	467	Ankyrin repeat and SOCS box protein 10	HUMAN	59290.31
Q8WXI4	ACOT11	607	Acyl-coenzyme A thioesterase 11	HUMAN	79410.4
Q8WXI7	MUC16	14507	Mucin-16	HUMAN	1780513.19000001
Q8WXI8	CLEC4D	215	C-type lectin domain family 4 member D	HUMAN	28559.9
Q8WXI9	GATAD2B	593	Transcriptional repressor p66-beta	HUMAN	75926.7
Q8WXJ9	ASB17	295	Ankyrin repeat and SOCS box protein 17	HUMAN	39579.23
Q8WXK1	ASB15	588	Ankyrin repeat and SOCS box protein 15	HUMAN	76374.84
Q8WXK3	ASB13	278	Ankyrin repeat and SOCS box protein 13	HUMAN	34998.24
Q8WXK4	ASB12	309	Ankyrin repeat and SOCS box protein 12	HUMAN	39492.34
Q8WXQ3	LINC01599	324	Putative uncharacterized protein encoded by LINC01599	HUMAN	41301.59
Q8WXQ8	CPA5	436	Carboxypeptidase A5	HUMAN	56873.14
Q8WXR4	MYO3B	1341	Myosin-IIIb	HUMAN	175971.46
Q8WXS3	BAALC	180	Brain and acute leukemia cytoplasmic protein	HUMAN	22449.3
Q8WXS4	TMEM37	190	Voltage-dependent calcium channel gamma-like subunit	HUMAN	24337.05
Q8WXS5	CACNG8	425	Voltage-dependent calcium channel gamma-8 subunit	HUMAN	50952.0599999999
Q8WXS8	ADAMTS14	1223	A disintegrin and metalloproteinase with thrombospondin motifs 14	HUMAN	155904.79
Q8WXT5	FOXD4L4	416	Forkhead box protein D4-like 4	HUMAN	53369.4299999999
Q8WXU2	DNAAF4	420	Dynein assembly factor 4, axonemal	HUMAN	56076.01
Q8WXW3	PIBF1	757	Progesterone-induced-blocking factor 1	HUMAN	103425.43
Q8WXX0	DNAH7	4024	Dynein heavy chain 7, axonemal	HUMAN	533641.22
Q8WXX5	DNAJC9	260	DnaJ homolog subfamily C member 9	HUMAN	34576.13
Q8WXX7	AUTS2	1259	Autism susceptibility gene 2 protein	HUMAN	161646.65
Q8WY07	SLC7A3	619	Cationic amino acid transporter 3	HUMAN	78303.7199999999
Q8WY21	SORCS1	1168	VPS10 domain-containing receptor SorCS1	HUMAN	150660.49
Q8WY22	BRI3BP	251	BRI3-binding protein	HUMAN	32339.72
Q8WY36	BBX	941	HMG box transcription factor BBX	HUMAN	122065.58
Q8WY41	NANOS1	292	Nanos homolog 1	HUMAN	35473.1299999999
Q8WY50	PLAC4	150	Placenta-specific protein 4	HUMAN	19364.49
Q8WY54	PPM1E	755	Protein phosphatase 1E	HUMAN	97536.32
Q8WY64	MYLIP	445	E3 ubiquitin-protein ligase MYLIP	HUMAN	57909.91
Q8WY91	THAP4	577	Peroxynitrite isomerase THAP4	HUMAN	73267.3299999999
Q8WY98	TMEM234	164	Transmembrane protein 234	HUMAN	20537.63
Q8WYA0	IFT81	676	Intraflagellar transport protein 81 homolog	HUMAN	91907.0499999999
Q8WYA1	ARNTL2	636	Aryl hydrocarbon receptor nuclear translocator-like protein 2	HUMAN	82327.68
Q8WYA6	CTNNBL1	563	Beta-catenin-like protein 1	HUMAN	75299
Q8WYB5	KAT6B	2073	Histone acetyltransferase KAT6B	HUMAN	268708.079999999
Q8WYH8	ING5	240	Inhibitor of growth protein 5	HUMAN	32056.59
Q8WYJ6	SEPTIN1	367	Septin-1	HUMAN	48565.01
Q8WYK0	ACOT12	555	Acetyl-coenzyme A thioesterase	HUMAN	72015.44
Q8WYK1	CNTNAP5	1306	Contactin-associated protein-like 5	HUMAN	169134.659999999
Q8WYK2	JDP2	163	Jun dimerization protein 2	HUMAN	21622.34
Q8WYL5	SSH1	1049	Protein phosphatase Slingshot homolog 1	HUMAN	134392.48
Q8WYN0	ATG4A	398	Cysteine protease ATG4A	HUMAN	52530.65
Q8WYN3	CSRNP3	585	Cysteine/serine-rich nuclear protein 3	HUMAN	75421.6199999999
Q8WYP3	RIN2	895	Ras and Rab interactor 2	HUMAN	116270.17
Q8WYP5	AHCTF1	2266	Protein ELYS	HUMAN	293306.039999999
Q8WYQ3	CHCHD10	142	Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial	HUMAN	16689.31
Q8WYQ4	C22orf15	148	Uncharacterized protein C22orf15	HUMAN	19135.36
Q8WYQ5	DGCR8	773	Microprocessor complex subunit DGCR8	HUMAN	99953.9199999999
Q8WYQ9	ZCCHC14	949	Zinc finger CCHC domain-containing protein 14	HUMAN	117121.58
Q8WYR1	PIK3R5	880	Phosphoinositide 3-kinase regulatory subunit 5	HUMAN	113184.38
Q8WYR4	RSPH1	309	Radial spoke head 1 homolog	HUMAN	40672.82
Q8WZ04	LRTOMT	291	Transmembrane O-methyltransferase	HUMAN	37379.88
Q8WZ19	KCTD13	329	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 1	HUMAN	42267
Q8WZ26	PP6455	134	Putative uncharacterized protein PP6455	HUMAN	17228.61
Q8WZ33	MAFIP	124	MaFF-interacting protein	HUMAN	16163.24
Q8WZ42	TTN	34350	Titin	HUMAN	4434882.96999965
Q8WZ55	BSND	320	Barttin	HUMAN	40944.6
Q8WZ59	TMEM190	177	Transmembrane protein 190	HUMAN	22628.08
Q8WZ60	KLHL6	621	Kelch-like protein 6	HUMAN	81529.49
Q8WZ64	ARAP2	1704	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 2	HUMAN	224134.449999999
Q8WZ69	C11orf40	217	Putative uncharacterized protein C11orf40	HUMAN	28511.45
Q8WZ71	TMEM158	300	Transmembrane protein 158	HUMAN	35791.5
Q8WZ73	RFFL	363	E3 ubiquitin-protein ligase rififylin	HUMAN	47036.1200000001
Q8WZ74	CTTNBP2	1663	Cortactin-binding protein 2	HUMAN	210995.219999999
Q8WZ75	ROBO4	1007	Roundabout homolog 4	HUMAN	125582.22
Q8WZ79	DNASE2B	361	Deoxyribonuclease-2-beta	HUMAN	48198.7000000001
Q8WZ82	OVCA2	227	Esterase OVCA2	HUMAN	28489.84
Q8WZ84	OR8D1	308	Olfactory receptor 8D1	HUMAN	39976.34
Q8WZ92	OR5P2	322	Olfactory receptor 5P2	HUMAN	41569.7
Q8WZ94	OR5P3	311	Olfactory receptor 5P3	HUMAN	39881.21
Q8WZA0	LZIC	190	Protein LZIC	HUMAN	24899.79
Q8WZA1	POMGNT1	660	Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1	HUMAN	87125.01
Q8WZA2	RAPGEF4	1011	Rap guanine nucleotide exchange factor 4	HUMAN	133718.82
Q8WZA6	OR1E3	343	Olfactory receptor 1E3	HUMAN	44680.2000000001
Q8WZA8	GCRG224	35	Putative gastric cancer-related gene 224 protein	HUMAN	4432.07
Q8WZA9	IRGQ	623	Immunity-related GTPase family Q protein	HUMAN	73924.21
Q8WZB0	LINC00476	136	Putative uncharacterized protein encoded by LINC00476	HUMAN	17146.99
Q902F9	HERVK_113	699	Endogenous retrovirus group K member 113 Env polyprotein	HUMAN	91770.4499999997
Q92185	ST8SIA1	356	Alpha-N-acetylneuraminide alpha-2,8-sialyltransferase	HUMAN	46914.92
Q92186	ST8SIA2	375	Alpha-2,8-sialyltransferase 8B	HUMAN	49168.2600000001
Q92187	ST8SIA4	359	CMP-N-acetylneuraminate-poly-alpha-2,8-sialyltransferase	HUMAN	47744.9900000001
Q92466	DDB2	427	DNA damage-binding protein 2	HUMAN	55539.16
Q92478	CLEC2B	149	C-type lectin domain family 2 member B	HUMAN	19973.41
Q92481	TFAP2B	460	Transcription factor AP-2-beta	HUMAN	58743.7
Q92482	AQP3	292	Aquaporin-3	HUMAN	36786.89
Q92484	SMPDL3A	453	Acid sphingomyelinase-like phosphodiesterase 3a	HUMAN	59404.1200000001
Q92485	SMPDL3B	455	Acid sphingomyelinase-like phosphodiesterase 3b	HUMAN	58993.66
Q92496	CFHR4	578	Complement factor H-related protein 4	HUMAN	75746.3000000001
Q92499	DDX1	740	ATP-dependent RNA helicase DDX1	HUMAN	95746.87
Q92502	STARD8	1023	StAR-related lipid transfer protein 8	HUMAN	131014.039999999
Q92503	SEC14L1	715	SEC14-like protein 1	HUMAN	94113.5899999999
Q92504	SLC39A7	469	Zinc transporter SLC39A7	HUMAN	58550.3
Q92506	HSD17B8	261	Estradiol 17-beta-dehydrogenase 8	HUMAN	31658.32
Q92508	PIEZO1	2521	Piezo-type mechanosensitive ion channel component 1	HUMAN	332192.770000001
Q92519	TRIB2	343	Tribbles homolog 2	HUMAN	44962.58
Q92520	FAM3C	227	Protein FAM3C	HUMAN	28752.38
Q92521	PIGB	554	GPI mannosyltransferase 3	HUMAN	75019.7500000001
Q92522	H1-10	213	Histone H1.10	HUMAN	26306.69
Q92523	CPT1B	772	Carnitine O-palmitoyltransferase 1, muscle isoform	HUMAN	101692.26
Q92526	CCT6B	530	T-complex protein 1 subunit zeta-2	HUMAN	67352.7500000001
Q92527	ANKRD7	254	Ankyrin repeat domain-containing protein 7	HUMAN	33587.08
Q92529	SHC3	594	SHC-transforming protein 3	HUMAN	74740.3799999999
Q92530	PSMF1	271	Proteasome inhibitor PI31 subunit	HUMAN	34681.28
Q92535	PIGC	297	Phosphatidylinositol N-acetylglucosaminyltransferase subunit C	HUMAN	38915.61
Q92536	SLC7A6	515	Y+L amino acid transporter 2	HUMAN	66088.26
Q92537	SUSD6	303	Sushi domain-containing protein 6	HUMAN	37531.43
Q92538	GBF1	1859	Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1	HUMAN	239921.369999999
Q92539	LPIN2	896	Phosphatidate phosphatase LPIN2	HUMAN	115524.26
Q92540	SMG7	1137	Protein SMG7	HUMAN	147748.41
Q92541	RTF1	710	RNA polymerase-associated protein RTF1 homolog	HUMAN	93087.2099999999
Q92542	NCSTN	709	Nicastrin	HUMAN	91166.8499999997
Q92543	SNX19	992	Sorting nexin-19	HUMAN	126452.809999999
Q92544	TM9SF4	642	Transmembrane 9 superfamily member 4	HUMAN	86067.5399999999
Q92545	TMEM131	1883	Transmembrane protein 131	HUMAN	239045.009999999
Q92546	RGP1	391	RAB6A-GEF complex partner protein 2	HUMAN	49481.76
Q92547	TOPBP1	1522	DNA topoisomerase 2-binding protein 1	HUMAN	198082.139999999
Q92551	IP6K1	441	Inositol hexakisphosphate kinase 1	HUMAN	58162.81
Q92552	MRPS27	414	28S ribosomal protein S27, mitochondrial	HUMAN	55052.48
Q92556	ELMO1	727	Engulfment and cell motility protein 1	HUMAN	96909.9199999998
Q92558	WASF1	559	Wiskott-Aldrich syndrome protein family member 1	HUMAN	71705.4099999997
Q92560	BAP1	729	Ubiquitin carboxyl-terminal hydrolase BAP1	HUMAN	93477.7499999998
Q92561	PHYHIP	330	Phytanoyl-CoA hydroxylase-interacting protein	HUMAN	43500.14
Q92562	FIG4	907	Polyphosphoinositide phosphatase	HUMAN	119958.08
Q92563	SPOCK2	424	Testican-2	HUMAN	54400.44
Q92564	DCUN1D4	292	DCN1-like protein 4	HUMAN	39310.49
Q92565	RAPGEF5	580	Rap guanine nucleotide exchange factor 5	HUMAN	78164.97
Q92567	FAM168A	244	Protein FAM168A	HUMAN	30562.31
Q92569	PIK3R3	461	Phosphatidylinositol 3-kinase regulatory subunit gamma	HUMAN	62736.1300000001
Q92570	NR4A3	626	Nuclear receptor subfamily 4 group A member 3	HUMAN	79490.2699999998
Q92572	AP3S1	193	AP-3 complex subunit sigma-1	HUMAN	25191.41
Q92574	TSC1	1164	Hamartin	HUMAN	150720.09
Q92575	UBXN4	508	UBX domain-containing protein 4	HUMAN	65911.8599999999
Q92576	PHF3	2039	PHD finger protein 3	HUMAN	266198.989999999
Q92581	SLC9A6	669	Sodium/hydrogen exchanger 6	HUMAN	86197.05
Q92583	CCL17	94	C-C motif chemokine 17	HUMAN	12182.93
Q92585	MAML1	1016	Mastermind-like protein 1	HUMAN	126341.2
Q92597	NDRG1	394	Protein NDRG1	HUMAN	49916.1099999999
Q92598	HSPH1	858	Heat shock protein 105 kDa	HUMAN	112305.45
Q92599	SEPTIN8	483	Septin-8	HUMAN	64440.33
Q92600	CNOT9	299	CCR4-NOT transcription complex subunit 9	HUMAN	39000.3
Q92604	LPGAT1	370	Acyl-CoA:lysophosphatidylglycerol acyltransferase 1	HUMAN	49737.7100000001
Q92608	DOCK2	1830	Dedicator of cytokinesis protein 2	HUMAN	244901.239999999
Q92609	TBC1D5	795	TBC1 domain family member 5	HUMAN	103309.76
Q92610	ZNF592	1267	Zinc finger protein 592	HUMAN	160337.16
Q92611	EDEM1	657	ER degradation-enhancing alpha-mannosidase-like protein 1	HUMAN	85587.14
Q92613	JADE3	823	Protein Jade-3	HUMAN	108617.75
Q92614	MYO18A	2054	Unconventional myosin-XVIIIa	HUMAN	270103.869999999
Q92615	LARP4B	738	La-related protein 4B	HUMAN	93830.11
Q92616	GCN1	2671	eIF-2-alpha kinase activator GCN1	HUMAN	340864.579999999
Q92617	NPIPB3	1050	Nuclear pore complex-interacting protein family member B3	HUMAN	135746.26
Q92618	ZNF516	1163	Zinc finger protein 516	HUMAN	145224.59
Q92619	ARHGAP45	1136	Rho GTPase-activating protein 45	HUMAN	145063.44
Q92620	DHX38	1227	Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16	HUMAN	162591.23
Q92621	NUP205	2012	Nuclear pore complex protein Nup205	HUMAN	264154.269999998
Q92622	RUBCN	972	Run domain Beclin-1-interacting and cysteine-rich domain-containing protein	HUMAN	126115.9
Q92623	TTC9	222	Tetratricopeptide repeat protein 9A	HUMAN	28360.58
Q92624	APPBP2	585	Amyloid protein-binding protein 2	HUMAN	77375.45
Q92625	ANKS1A	1134	Ankyrin repeat and SAM domain-containing protein 1A	HUMAN	143521.08
Q92626	PXDN	1479	Peroxidasin homolog	HUMAN	191903.67
Q92628	KIAA0232	1395	Uncharacterized protein KIAA0232	HUMAN	179903.81
Q92629	SGCD	289	Delta-sarcoglycan	HUMAN	37260.24
Q92630	DYRK2	601	Dual specificity tyrosine-phosphorylation-regulated kinase 2	HUMAN	77461.7899999999
Q92633	LPAR1	364	Lysophosphatidic acid receptor 1	HUMAN	47649.56
Q92636	NSMAF	917	Protein FAN	HUMAN	120875.89
Q92637	FCGR1B	280	High affinity immunoglobulin gamma Fc receptor IB	HUMAN	37258.63
Q92643	PIGK	395	GPI-anchor transamidase	HUMAN	52350.4300000001
Q92664	GTF3A	365	Transcription factor IIIA	HUMAN	48072.98
Q92665	MRPS31	395	28S ribosomal protein S31, mitochondrial	HUMAN	52416.9600000001
Q92667	AKAP1	903	A-kinase anchor protein 1, mitochondrial	HUMAN	113592.78
Q92670	ZNF75CP	426	Putative zinc finger protein 75C	HUMAN	57410.5200000001
Q92673	SORL1	2214	Sortilin-related receptor	HUMAN	288297.899999999
Q92674	CENPI	756	Centromere protein I	HUMAN	100323.12
Q92681	RSC1A1	617	Regulatory solute carrier protein family 1 member 1	HUMAN	77888.0099999999
Q92685	ALG3	438	Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase	HUMAN	57999.9700000001
Q92686	NRGN	78	Neurogranin	HUMAN	9005.82999999999
Q92688	ANP32B	251	Acidic leucine-rich nuclear phosphoprotein 32 family member B	HUMAN	33292.0100000001
Q92692	NECTIN2	538	Nectin-2	HUMAN	67417.04
Q92696	RABGGTA	567	Geranylgeranyl transferase type-2 subunit alpha	HUMAN	75269.5299999998
Q92698	RAD54L	747	DNA repair and recombination protein RAD54-like	HUMAN	97792.5999999998
Q92729	PTPRU	1446	Receptor-type tyrosine-protein phosphatase U	HUMAN	188457.84
Q92730	RND1	232	Rho-related GTP-binding protein Rho6	HUMAN	30218.03
Q92731	ESR2	530	Estrogen receptor beta	HUMAN	68747.25
Q92733	PRCC	491	Proline-rich protein PRCC	HUMAN	61245.89
Q92734	TFG	400	Protein TFG	HUMAN	50636.61
Q92736	RYR2	4967	Ryanodine receptor 2	HUMAN	654039.869999992
Q92737	RASL10A	203	Ras-like protein family member 10A	HUMAN	26180.47
Q92738	USP6NL	828	USP6 N-terminal-like protein	HUMAN	109003.67
Q92743	HTRA1	480	Serine protease HTRA1	HUMAN	59917.22
Q92747	ARPC1A	370	Actin-related protein 2/3 complex subunit 1A	HUMAN	48217.52
Q92748	THRSP	146	Thyroid hormone-inducible hepatic protein	HUMAN	19173.21
Q92750	TAF4B	862	Transcription initiation factor TFIID subunit 4B	HUMAN	106603.06
Q92752	TNR	1358	Tenascin-R	HUMAN	174010.689999999
Q92753	RORB	470	Nuclear receptor ROR-beta	HUMAN	61669.8700000001
Q92754	TFAP2C	450	Transcription factor AP-2 gamma	HUMAN	57266.44
Q92759	GTF2H4	462	General transcription factor IIH subunit 4	HUMAN	60492.18
Q92764	KRT35	455	Keratin, type I cuticular Ha5	HUMAN	58540.35
Q92765	FRZB	325	Secreted frizzled-related protein 3	HUMAN	42091.51
Q92766	RREB1	1687	Ras-responsive element-binding protein 1	HUMAN	211796.66
Q92769	HDAC2	488	Histone deacetylase 2	HUMAN	64138.46
Q92771	DDX12P	950	Putative ATP-dependent RNA helicase DDX12	HUMAN	123103.82
Q92772	CDKL2	493	Cyclin-dependent kinase-like 2	HUMAN	64882.92
Q92777	SYN2	582	Synapsin-2	HUMAN	73464.0299999999
Q92781	RDH5	318	Retinol dehydrogenase 5	HUMAN	40690.31
Q92782	DPF1	380	Zinc finger protein neuro-d4	HUMAN	49330.9500000001
Q92783	STAM	540	Signal transducing adapter molecule 1	HUMAN	68890.7699999999
Q92784	DPF3	378	Zinc finger protein DPF3	HUMAN	49876.5700000001
Q92785	DPF2	391	Zinc finger protein ubi-d4	HUMAN	51182.0700000001
Q92786	PROX1	737	Prospero homeobox protein 1	HUMAN	96463.4799999999
Q92791	P3H4	437	Endoplasmic reticulum protein SC65	HUMAN	58236.86
Q92793	CREBBP	2442	CREB-binding protein	HUMAN	309329.900000003
Q92794	KAT6A	2004	Histone acetyltransferase KAT6A	HUMAN	261114.649999999
Q92796	DLG3	817	Disks large homolog 3	HUMAN	105015.76
Q92797	SYMPK	1274	Symplekin	HUMAN	164084.19
Q92800	EZH1	747	Histone-lysine N-methyltransferase EZH1	HUMAN	98711.6099999999
Q92802	N4BP2L2	583	NEDD4-binding protein 2-like 2	HUMAN	77944.4800000001
Q92804	TAF15	592	TATA-binding protein-associated factor 2N	HUMAN	72477.6800000001
Q92805	GOLGA1	767	Golgin subfamily A member 1	HUMAN	101985.49
Q92806	KCNJ9	393	G protein-activated inward rectifier potassium channel 3	HUMAN	51082.56
Q92813	DIO2	273	Type II iodothyronine deiodinase	HUMAN	35394.48
Q92817	EVPL	2033	Envoplakin	HUMAN	268214.729999999
Q92819	HAS2	552	Hyaluronan synthase 2	HUMAN	73493.7
Q92820	GGH	318	Gamma-glutamyl hydrolase	HUMAN	41675.73
Q92823	NRCAM	1304	Neuronal cell adhesion molecule	HUMAN	167365.61
Q92824	PCSK5	1860	Proprotein convertase subtilisin/kexin type 5	HUMAN	240435.670000001
Q92826	HOXB13	284	Homeobox protein Hox-B13	HUMAN	35774.38
Q92828	CORO2A	525	Coronin-2A	HUMAN	69204.0899999999
Q92830	KAT2A	837	Histone acetyltransferase KAT2A	HUMAN	108987.49
Q92831	KAT2B	832	Histone acetyltransferase KAT2B	HUMAN	107984.96
Q92832	NELL1	810	Protein kinase C-binding protein NELL1	HUMAN	104210.91
Q92833	JARID2	1246	Protein Jumonji	HUMAN	161165.13
Q92834	RPGR	1020	X-linked retinitis pigmentosa GTPase regulator	HUMAN	131745.74
Q92835	INPP5D	1189	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1	HUMAN	154696.07
Q92837	FRAT1	279	Proto-oncogene FRAT1	HUMAN	34101.7
Q92838	EDA	391	Ectodysplasin-A	HUMAN	48320.2300000001
Q92839	HAS1	578	Hyaluronan synthase 1	HUMAN	75228.1100000001
Q92841	DDX17	729	Probable ATP-dependent RNA helicase DDX17	HUMAN	93388.6800000001
Q92843	BCL2L2	193	Bcl-2-like protein 2	HUMAN	24205.7
Q92844	TANK	425	TRAF family member-associated NF-kappa-B activator	HUMAN	55454.85
Q92845	KIFAP3	792	Kinesin-associated protein 3	HUMAN	105456.9
Q92847	GHSR	366	Growth hormone secretagogue receptor type 1	HUMAN	47904.68
Q92851	CASP10	521	Caspase-10	HUMAN	68319.39
